案件編號,合約日期,月份,帳齡
L2401003092,2024/01,2024/01,Normal
L240102533AA,2024/01,2024/01,Normal
L240101095AA,2024/01,2024/01,Normal
L240102200AA,2024/01,2024/01,Normal
L2401000790,2024/01,2024/01,Normal
L240101306AA,2024/01,2024/01,Normal
L2401001217,2024/01,2024/01,Normal
L240102958AA,2024/01,2024/01,Normal
L240103020AA,2024/01,2024/01,Normal
L2401002694,2024/01,2024/01,Normal
L240102234AA,2024/01,2024/01,Normal
L240102435AA,2024/01,2024/01,Normal
L240102775AA,2024/01,2024/01,Normal
L240102292AA,2024/01,2024/01,Normal
L240100256AA,2024/01,2024/01,Normal
L2401000231,2024/01,2024/01,Normal
L2401000531,2024/01,2024/01,Normal
L2401002366,2024/01,2024/01,Normal
F2401003735,2024/01,2024/01,Normal
L240100357AA,2024/01,2024/01,Normal
L240102379AA,2024/01,2024/01,Normal
L2401005867,2024/02,2024/02,Normal
L2401006285,2024/02,2024/02,Normal
L2402000117,2024/02,2024/02,Normal
L240102533AA,2024/01,2024/02,Normal
F2402000190,2024/02,2024/02,Normal
L2402005164,2024/02,2024/02,Normal
L2402001869,2024/02,2024/02,Normal
L240101095AA,2024/01,2024/02,Normal
L2402001545,2024/02,2024/02,Normal
L240102234AA,2024/01,2024/02,Normal
L2402001882,2024/02,2024/02,Normal
L2401004453,2024/02,2024/02,Normal
L240102200AA,2024/01,2024/02,Normal
L2401003092,2024/01,2024/02,Normal
L2401006992,2024/02,2024/02,Normal
L2402001050,2024/02,2024/02,Normal
L2401000790,2024/01,2024/02,Normal
L2402005423,2024/02,2024/02,Normal
L2401001217,2024/01,2024/02,Normal
L240101306AA,2024/01,2024/02,Normal
L2402000133,2024/02,2024/02,Normal
L2402002282,2024/02,2024/02,Normal
L2402006085,2024/02,2024/02,Normal
L240102958AA,2024/01,2024/02,Normal
L2402005183,2024/02,2024/02,Normal
L2401002694,2024/01,2024/02,Normal
L2402002543,2024/02,2024/02,Normal
L240102775AA,2024/01,2024/02,Normal
L2401001143,2024/02,2024/02,Normal
L240103020AA,2024/01,2024/02,Normal
L240102292AA,2024/01,2024/02,Normal
L2401000231,2024/01,2024/02,Normal
L240102435AA,2024/01,2024/02,Normal
L240100256AA,2024/01,2024/02,Normal
L2401002366,2024/01,2024/02,Normal
F2401003735,2024/01,2024/02,Normal
L240100357AA,2024/01,2024/02,Normal
L2402007179,2024/02,2024/02,Normal
L2402001307,2024/02,2024/02,Normal
L2402001127,2024/02,2024/02,Normal
L2402007083,2024/02,2024/02,Normal
L2402003043,2024/02,2024/02,Normal
L2402003610,2024/02,2024/02,Normal
L240102379AA,2024/01,2024/02,Normal
L2401000531,2024/01,2024/02,Normal
L2402001869,2024/02,2024/03,Normal
F2401003735,2024/01,2024/03,Normal
L2401006285,2024/02,2024/03,Normal
L2402000133,2024/02,2024/03,Normal
L2401005867,2024/02,2024/03,Normal
L2401001143,2024/02,2024/03,Normal
F2402009004,2024/03,2024/03,Normal
L2402006896,2024/03,2024/03,Normal
L2403004523,2024/03,2024/03,Normal
L2402000117,2024/02,2024/03,Normal
L2403001227,2024/03,2024/03,Normal
L240102200AA,2024/01,2024/03,Normal
F2402000190,2024/02,2024/03,Normal
L240102533AA,2024/01,2024/03,M0
F2402008234,2024/03,2024/03,Normal
L240101095AA,2024/01,2024/03,Normal
L2402005164,2024/02,2024/03,Normal
L2402001545,2024/02,2024/03,Normal
L240102234AA,2024/01,2024/03,Normal
L2402001882,2024/02,2024/03,Normal
L2403003204,2024/03,2024/03,Normal
L2401004453,2024/02,2024/03,Normal
L2401003092,2024/01,2024/03,Normal
L2403003537,2024/03,2024/03,Normal
L2401000790,2024/01,2024/03,Normal
L2402007153,2024/03,2024/03,Normal
L2402005423,2024/02,2024/03,Normal
L2403005278,2024/03,2024/03,Normal
L2401006992,2024/02,2024/03,Normal
L240101306AA,2024/01,2024/03,Normal
L2401001217,2024/01,2024/03,Normal
L240102958AA,2024/01,2024/03,Normal
L2402005183,2024/02,2024/03,Normal
L2402001050,2024/02,2024/03,Normal
L2402006085,2024/02,2024/03,Normal
L2402002282,2024/02,2024/03,Normal
L2401002694,2024/01,2024/03,M0
L2402002543,2024/02,2024/03,Normal
L2402006298,2024/03,2024/03,Normal
L240102775AA,2024/01,2024/03,Normal
L240103020AA,2024/01,2024/03,Normal
L2401000231,2024/01,2024/03,Normal
L2403006948,2024/03,2024/03,Normal
L2402007168,2024/03,2024/03,Normal
L2402003660,2024/03,2024/03,Normal
L2403003287,2024/03,2024/03,Normal
L2401000531,2024/01,2024/03,Normal
L2403006007,2024/03,2024/03,Normal
L240100256AA,2024/01,2024/03,Normal
L240102435AA,2024/01,2024/03,Normal
L2401003765,2024/03,2024/03,Normal
L2402010099,2024/03,2024/03,Normal
L2401002366,2024/01,2024/03,Normal
L240100357AA,2024/01,2024/03,Normal
L2402007179,2024/02,2024/03,Normal
L2403002060,2024/03,2024/03,Normal
L2402009335,2024/03,2024/03,Normal
L2402008935,2024/03,2024/03,Normal
L2402008566,2024/03,2024/03,Normal
L2403002276,2024/03,2024/03,Normal
L2403003670,2024/03,2024/03,Normal
L2402001307,2024/02,2024/03,Normal
L2402001127,2024/02,2024/03,Normal
L2402008812,2024/03,2024/03,Normal
L2402007083,2024/02,2024/03,Normal
L2402003043,2024/02,2024/03,Normal
L2403001643,2024/03,2024/03,Normal
L2402004605,2024/03,2024/03,Normal
L2401006811,2024/03,2024/03,Normal
L240102379AA,2024/01,2024/03,Normal
L2402003610,2024/02,2024/03,Normal
L2403004525,2024/03,2024/03,Normal
L2403005300,2024/03,2024/03,Normal
L240102292AA,2024/01,2024/03,Normal
L2403006901,2024/04,2024/04,Normal
L2402008566,2024/03,2024/04,Normal
L2404000047,2024/04,2024/04,Normal
L2403006447,2024/04,2024/04,Normal
L240102234AA,2024/01,2024/04,Normal
L2402005880,2024/04,2024/04,Normal
L2402008891,2024/04,2024/04,Normal
L2403006069,2024/04,2024/04,Normal
L2401005867,2024/02,2024/04,Normal
L2402006896,2024/03,2024/04,Normal
L2401006285,2024/02,2024/04,Normal
F2402009004,2024/03,2024/04,Normal
L2404005293,2024/04,2024/04,Normal
F2402000190,2024/02,2024/04,Normal
L2403009207,2024/04,2024/04,Normal
L240101095AA,2024/01,2024/04,Normal
L2403004523,2024/03,2024/04,Normal
L2404003543,2024/04,2024/04,Normal
L2404004035,2024/04,2024/04,Normal
L2402001545,2024/02,2024/04,Normal
L2404005020,2024/04,2024/04,Normal
L2403009740,2024/04,2024/04,Normal
L2403009089,2024/04,2024/04,Normal
L2401004453,2024/02,2024/04,Normal
L2402001882,2024/02,2024/04,Normal
L2404006799,2024/04,2024/04,Normal
L2404006985,2024/04,2024/04,Normal
L2404000609,2024/04,2024/04,Normal
L2404007463,2024/04,2024/04,Normal
L2403003204,2024/03,2024/04,Normal
L2401003092,2024/01,2024/04,Normal
F2402008234,2024/03,2024/04,Normal
L2403010497,2024/04,2024/04,Normal
L2402000117,2024/02,2024/04,Normal
L2401000790,2024/01,2024/04,Normal
L2403010508,2024/04,2024/04,Normal
L2403003537,2024/03,2024/04,Normal
L2404004407,2024/04,2024/04,Normal
L2401006992,2024/02,2024/04,Normal
L240102200AA,2024/01,2024/04,Normal
L2402001050,2024/02,2024/04,Normal
L2402007153,2024/03,2024/04,Normal
L2402005423,2024/02,2024/04,Normal
L2403005278,2024/03,2024/04,Normal
L2402005183,2024/02,2024/04,Normal
L240101306AA,2024/01,2024/04,Normal
L2403001227,2024/03,2024/04,Normal
L2402006085,2024/02,2024/04,Normal
L2401001217,2024/01,2024/04,Normal
L2402000133,2024/02,2024/04,Normal
L2402002282,2024/02,2024/04,Normal
L2404005792,2024/04,2024/04,Normal
L2403007475,2024/04,2024/04,Normal
L2404000940,2024/04,2024/04,Normal
L2402005164,2024/02,2024/04,Normal
L2402002543,2024/02,2024/04,Normal
L240102292AA,2024/01,2024/04,Normal
L2401002694,2024/01,2024/04,M0
L240102775AA,2024/01,2024/04,Normal
L2402006298,2024/03,2024/04,Normal
L2401000231,2024/01,2024/04,Normal
L2404000474,2024/04,2024/04,Normal
L2401001143,2024/02,2024/04,Normal
L2404003612,2024/04,2024/04,Normal
L240103020AA,2024/01,2024/04,Normal
L2402007168,2024/03,2024/04,Normal
L2404004519,2024/04,2024/04,Normal
L2401003765,2024/03,2024/04,Normal
L2403006948,2024/03,2024/04,Normal
L240102435AA,2024/01,2024/04,Normal
F2404003835,2024/04,2024/04,Normal
L240102533AA,2024/01,2024/04,M0
L2402003660,2024/03,2024/04,Normal
L2403003287,2024/03,2024/04,Normal
L2401000531,2024/01,2024/04,Normal
L2403007195,2024/04,2024/04,Normal
L2403006007,2024/03,2024/04,Normal
L2402010099,2024/03,2024/04,Normal
L2404004039,2024/04,2024/04,Normal
L240100256AA,2024/01,2024/04,M1
L2401002366,2024/01,2024/04,M1
L240100357AA,2024/01,2024/04,Normal
F2401003735,2024/01,2024/04,Normal
L240102958AA,2024/01,2024/04,Normal
L2403002060,2024/03,2024/04,Normal
L2402007179,2024/02,2024/04,Normal
L2403009514,2024/04,2024/04,Normal
L2402006792,2024/04,2024/04,Normal
L2404007081,2024/04,2024/04,Normal
L2402008935,2024/03,2024/04,Normal
L2402001869,2024/02,2024/04,Normal
L2403002276,2024/03,2024/04,Normal
L2403003670,2024/03,2024/04,Normal
L2403008749,2024/04,2024/04,Normal
L2402009335,2024/03,2024/04,Normal
L2402008812,2024/03,2024/04,Normal
L2402007083,2024/02,2024/04,Normal
L2404001467,2024/04,2024/04,Normal
L2402001307,2024/02,2024/04,Normal
L2402001127,2024/02,2024/04,Normal
L2402003043,2024/02,2024/04,Normal
L2403001643,2024/03,2024/04,Normal
L2402004605,2024/03,2024/04,Normal
L2403010236,2024/04,2024/04,Normal
L2401006811,2024/03,2024/04,Normal
L2402003610,2024/02,2024/04,Normal
L2404001417,2024/04,2024/04,Normal
L240102379AA,2024/01,2024/04,Normal
L2403004525,2024/03,2024/04,Normal
L2403005300,2024/03,2024/04,Normal
L2403004806,2024/04,2024/04,Normal
L2404008693,2024/05,2024/05,Normal
L2403006901,2024/04,2024/05,Normal
L2403006069,2024/04,2024/05,Normal
L2404000047,2024/04,2024/05,Normal
L240102958AA,2024/01,2024/05,Normal
L2401005867,2024/02,2024/05,Normal
L2402008566,2024/03,2024/05,Normal
L2401006285,2024/02,2024/05,Normal
L2403006447,2024/04,2024/05,Normal
F2402009004,2024/03,2024/05,Normal
L2403004523,2024/03,2024/05,Normal
L2402006896,2024/03,2024/05,Normal
L2402000117,2024/02,2024/05,Normal
L2404005293,2024/04,2024/05,Normal
L2403001227,2024/03,2024/05,Normal
L2405004757,2024/05,2024/05,Normal
L240102533AA,2024/01,2024/05,M0
L2403009207,2024/04,2024/05,Normal
F2402000190,2024/02,2024/05,M1
L2402005164,2024/02,2024/05,M1
F2402008234,2024/03,2024/05,Normal
L2403010497,2024/04,2024/05,Normal
L240101095AA,2024/01,2024/05,Normal
L2404003543,2024/04,2024/05,Normal
L2402001545,2024/02,2024/05,Normal
L2404005020,2024/04,2024/05,Normal
L2403009740,2024/04,2024/05,Normal
L2404004035,2024/04,2024/05,Normal
L240102234AA,2024/01,2024/05,Normal
L2402001882,2024/02,2024/05,Normal
L2404006799,2024/04,2024/05,Normal
L2403009089,2024/04,2024/05,Normal
L2404006985,2024/04,2024/05,Normal
L2405007632,2024/05,2024/05,Normal
L2402001869,2024/02,2024/05,Normal
L2401004453,2024/02,2024/05,Normal
L2404000609,2024/04,2024/05,Normal
L2403003204,2024/03,2024/05,Normal
L2404007463,2024/04,2024/05,Normal
L2401003092,2024/01,2024/05,Normal
L2403003537,2024/03,2024/05,Normal
L240102200AA,2024/01,2024/05,Normal
L2402008891,2024/04,2024/05,Normal
L2401006992,2024/02,2024/05,Normal
L2401000790,2024/01,2024/05,Normal
L2405007862,2024/05,2024/05,Normal
L2404004407,2024/04,2024/05,Normal
L2403010508,2024/04,2024/05,Normal
L2402001050,2024/02,2024/05,Normal
L2403004442,2024/05,2024/05,Normal
L2402007153,2024/03,2024/05,Normal
L2402005423,2024/02,2024/05,Normal
L2403005278,2024/03,2024/05,Normal
L2404007781,2024/05,2024/05,Normal
L2405005441,2024/05,2024/05,Normal
L2401001217,2024/01,2024/05,Normal
L2402000133,2024/02,2024/05,Normal
L240101306AA,2024/01,2024/05,Normal
L2402005183,2024/02,2024/05,Normal
L2402006085,2024/02,2024/05,Normal
L2404008952,2024/05,2024/05,Normal
L2404000940,2024/04,2024/05,Normal
L2403007475,2024/04,2024/05,Normal
L2402002282,2024/02,2024/05,Normal
L2404005792,2024/04,2024/05,Normal
L2404002172,2024/05,2024/05,Normal
L2404008788,2024/05,2024/05,Normal
L2404007462,2024/05,2024/05,Normal
L2401001143,2024/02,2024/05,Normal
L2404008154,2024/05,2024/05,Normal
L2405003624,2024/05,2024/05,Normal
L2401002694,2024/01,2024/05,M0
L2402002543,2024/02,2024/05,Normal
L2402005880,2024/04,2024/05,Normal
L2404003612,2024/04,2024/05,Normal
L2405002501,2024/05,2024/05,Normal
L240102775AA,2024/01,2024/05,Normal
L240103020AA,2024/01,2024/05,Normal
L2405007426,2024/05,2024/05,Normal
L2402006298,2024/03,2024/05,Normal
L2404005422,2024/05,2024/05,Normal
L2401000231,2024/01,2024/05,Normal
L2404000474,2024/04,2024/05,Normal
L2403006948,2024/03,2024/05,Normal
L2402007168,2024/03,2024/05,Normal
L2405003467,2024/05,2024/05,Normal
L2402003660,2024/03,2024/05,Normal
L2403006007,2024/03,2024/05,Normal
L240102435AA,2024/01,2024/05,Normal
F2404003835,2024/04,2024/05,Normal
L2403007195,2024/04,2024/05,Normal
L2404004039,2024/04,2024/05,Normal
L2401000531,2024/01,2024/05,Normal
L2404004519,2024/04,2024/05,Normal
L2401003765,2024/03,2024/05,Normal
L240100256AA,2024/01,2024/05,M1
L2404008252,2024/05,2024/05,Normal
L2401002366,2024/01,2024/05,Normal
L2403003287,2024/03,2024/05,Normal
L2405008377,2024/05,2024/05,Normal
L2402010099,2024/03,2024/05,Normal
L2405002569,2024/05,2024/05,Normal
L240100357AA,2024/01,2024/05,Normal
F2401003735,2024/01,2024/05,Normal
L2403002060,2024/03,2024/05,Normal
L2404006295,2024/05,2024/05,Normal
L2402007179,2024/02,2024/05,Normal
L2403009514,2024/04,2024/05,Normal
L2402006792,2024/04,2024/05,Normal
L2402008935,2024/03,2024/05,Normal
L2403002276,2024/03,2024/05,Normal
L2402009335,2024/03,2024/05,Normal
L2404007081,2024/04,2024/05,Normal
L2403007286,2024/05,2024/05,Normal
L2403003670,2024/03,2024/05,Normal
L2404001467,2024/04,2024/05,Normal
L2402001307,2024/02,2024/05,Normal
L2402001127,2024/02,2024/05,Normal
L2402007083,2024/02,2024/05,Normal
L2403007269,2024/05,2024/05,Normal
L2403008749,2024/04,2024/05,Normal
